White,IncomePerCap,Unemployment,Poverty,Professional,Walk,MeanCommute,AvgHouseholdSize,NotHSGrad,Bachelors,Over65,Under18,RenterOccupied,TreesPerSqMi
0.023,0.061877345064044506,0.15975103734439833,0.29027576197387517,0.28539823008849563,0.048252911813643926,0.5027124773960218,0.5807050092764379,0.46379044684129433,0.10469314079422383,0.1275955374944736,0.46125127206208244,0.4279845129160199,Low
0.036000000000000004,0.08419588562556606,0.1970954356846473,0.1915820029027576,0.3241150442477877,0.023294509151414306,0.538878842676311,0.5825602968460112,0.6070878274268104,0.14620938628158844,0.09054858177831854,0.46364320977324086,0.3359440433831155,Low
0.016,0.043060227713805146,0.18049792531120326,0.38171262699564584,0.1792035398230089,0.14309484193011646,0.4267631103074141,0.5102040816326531,0.5747303543913713,0.14620938628158844,0.15852392002201693,0.4689044904930857,0.8053619054448431,Med
0.016,0.020810421788070903,0.3568464730290456,0.772133526850508,0.12831858407079647,0.07154742096505823,0.5569620253164558,0.549165120593692,0.5839753466872111,0.08303249097472923,0.10926815301737852,0.49131818796232885,0.8401603881219113,Med
0.002,0.011745536291887695,0.39211618257261405,0.7866473149492017,0.19800884955752215,0.23294509151414308,0.4972875226039784,0.48237476808905383,0.7072419106317412,0.07581227436823104,0.1552391131648886,0.5327115307638745,0.9931998766039399,Low
0.015,0.018667518437055247,0.1950207468879668,0.7329462989840347,0.14380530973451328,0.29450915141430944,0.3670886075949367,0.549165120593692,0.6579352850539292,0.052346570397111915,0.08813700008797348,0.48576474854019935,0.9729938246055531,Med
0,0.013912698926122397,0.3153526970954357,0.7634252539912917,0.18805309734513276,0.2995008319467554,0.49909584086799275,0.5677179962894249,0.6810477657935285,0.1444043321299639,0.08074445889233424,0.5526947442141784,0.9973898074959024,Low
0.016,0.008227940225126148,0.21991701244813275,0.764876632801161,0.13606194690265486,0.11813643926788685,0.5207956600361664,0.6233766233766234,0.6517719568567026,0.04693140794223826,0.0387336207010062,0.556228143036654,0.9390105072879774,Med
0.002,0.07995859748997283,0.26556016597510373,0.12336719883889694,0.3727876106194691,0.033277870216306155,0.5804701627486437,0.450834879406308,0.4499229583975347,0.17689530685920576,0.13610967768075036,0.3660243427364253,0.8743587488117127,Low
0.006,0.04110735541467202,0.13692946058091285,0.262699564586357,0.16150442477876106,0.24292845257903492,0.45027124773960225,0.5769944341372913,0.6332819722650231,0.19133574007220214,0.0637166673173338,0.5001269271776473,0.8632601133351685,Low
